Comment,Description,Designator,Footprint,LibRef,Quantity

"Generic Capacitor 10uF 0603","","C1, C2","Wurth 0603 capacitor","Generic Capacitor 10uF 0603","2"
"Generic Capacitor 100nF 0603","","C3, C5","Wurth 0603 capacitor","Generic Capacitor 100nF 0603","2"
"Generic Capacitor 4.7uF 0603","","C4, C6","Wurth 0603 capacitor","Generic Capacitor 4.7uF 0603","2"
"150060RS75000","","D1","WL-SMCW_0603_150060xx75000","CMP-1426-00001-3","1"
"USBLC6-2SC6","Integrated Circuit","IC1","Tech Public SOT23-6","Tech Public USBLC6-2SC6","1"
"CP2102N-A02-GQFN24R","IC USB TO UART BRIDGE QFN24","IC2","FP-CP2102N-A02-GQFN24R-IPC_C","Silicon Labs CP2102N-A02-GQFN24R","1"
"KH-TYPE-C-16P","","J1","KINGHELM_KH-TYPE-C-16P","KH-TYPE-C-16P","1"
"61300211121","","P1","61300211121","CMP-1712-00002-5","1"
"61300711121","","P2","61300711121","CMP-1502-01074-2","1"
"SS8050-G","NPN TRANSISTOR 1.5A 40V SOT-23 R","Q1, Q2","FP-SS8050-G-MFG","CMP-20235-000001-1","2"
"Generic Resistor 5k1 0805","","R1, R2","0805 Resistor","Generic Resistor 5k1 0805","2"
"Generic Resistor 100R 0603","","R3","Wurth 0603 Resistor","Generic Resistor 100R 0603","1"
"Generic Resistor 22k1 0603","","R4","Wurth 0603 Resistor","Generic Resistor 22k1 0603","1"
"Generic Resistor 10k 0603","","R5, R6, R8, R9","Wurth 0603 Resistor","Generic Resistor 10k 0603","4"
"Generic Resistor 47k5 0603","","R7","Wurth 0603 Resistor","Generic Resistor 47k5 0603","1"
"TS-1088R-02026","","S1, S2","TS1088R02026","XUNPU TS-1088R-02026","2"
"AP1117E33G-13","IC REG LINEAR 3.3V 1A SOT223-3","U1","FP-SOT223-MFG","CMP-12756-000021-1","1"
